nom du point,angles augmentés,angles augmentés,angles augmentés,angles observés,angles observés,angles observés
,d,m,s,d,m,s
Ste Margueritte,49,20,57,49,20,57
Observatoire,51,57,10,51,57,10
Hôtel Soissons,78,40,0,78,40,0
Ste Margueritte,23,50,3,23,50,3
St Sulpice,59,37,16,59,36,46
Hôtel Soissons,96,32,0,96,32,0
Notre-Dame,77,48,15,77,48,15
St Sulpice,51,35,44,51,35,44
Hôtel Soissons,50,36,0,50,36,0
Observatoire,17,25,30,17,25,30
Notre-Dame,129,49,45,129,49,45
Hôtel Soissons,32,44,0,32,44,0
Observatoire,15,29,50,15,29,50
St Sulpice,146,38,53,146,38,23
Hôtel Soissons,17,52,0,17,52,0
