nom du point,angles augmentés,angles augmentés,angles augmentés,angles observés,angles observés,angles observés
,d,m,s,d,m,s
Ste Margueritte,44,38,2,44,38,2
St Sulpice,53,33,14,53,32,44
Porte St Denis,81,50,8,81,49,58
Ste Margueritte,40,51,5,40,51,5
Notre-Dame,82,39,20,82,39,20
Porte St Denis,56,29,45,56,29,45
Piramide,33,15,0,33,13,30
St Sulpice,30,48,29,30,48,29
Porte St Denis,115,55,43,115,55,43
St Sulpice,45,31,42,45,31,42
Notre-Dame,109,8,15,109,8,15
Porte St Denis,25,20,23,25,20,13
Piramide,17,13,26,17,12,26
Notre-Dame,21,30,30,21,30,30
Porte St Denis,141,16,6,141,16,56
Notre-Dame,31,20,0,31,20,0
Hôtel Soissons,115,19,30,115,20,30
Porte St Denis,33,21,50,33,21,40
