,"angles augmentés","angles augmentés","angles augmentés","angles observés","angles observés","angles observés"
"base","d","m","s","d","m","s"
"St Margueritte, Notre-Dame",180,1,1,180,0,1
"St Margueritte, Notre-Dame",180,0,33,180,0,33
"St Margueritte, Notre-Dame",180,0,10,179,59,10
"St Margueritte, Notre-Dame",180,0,26,180,0,26
"St Sulpice",180,0,34,179,58,34
"St Sulpice",179,59,31,179,59,1
"St Sulpice",179,59,59,179,58,59
"St Sulpice",179,59,30,179,59,0
"Hôtel Soissons",179,58,7,179,58,7
"Hôtel Soissons",179,59,19,179,58,49
"Hôtel Soissons",179,59,59,179,59,59
"Hôtel Soissons",179,59,15,179,59,15
"Hôtel Soissons",180,0,43,180,0,13
"Porte St Denis",180,1,24,180,0,44
"Porte St Denis",180,0,10,180,0,10
"Porte St Denis",179,59,12,179,57,42
"Porte St Denis",180,0,20,180,0,10
"Porte St Denis",180,0,2,179,59,52
"Porte St Denis",180,1,20,180,2,10
