,,"angles augmentés","angles augmentés","angles augmentés","angles observés","angles observés","angles observés"
"base","nom du point","d","m","s","d","m","s"
"St Margueritte, Notre-Dame","Piramide",40,34,51,40,33,51
"St Margueritte, Notre-Dame","Observatoire",61,19,0,61,19,0
"St Margueritte, Notre-Dame","Ste Margueritte",78,7,10,78,7,10
"St Margueritte, Notre-Dame","Piramide",13,33,58,13,33,58
"St Margueritte, Notre-Dame","Observatoire",26,47,20,26,47,20
"St Margueritte, Notre-Dame","Notre-Dame",139,39,15,139,39,15
"St Margueritte, Notre-Dame","Piramide",27,1,1,27,0,1
"St Margueritte, Notre-Dame","Ste Margueritte",48,49,19,48,49,19
"St Margueritte, Notre-Dame","Notre-Dame",104,9,50,104,9,50
"St Margueritte, Notre-Dame","Observatoire",34,31,40,34,31,40
"St Margueritte, Notre-Dame","Ste Margueritte",29,17,51,29,17,51
"St Margueritte, Notre-Dame","Notre-Dame",116,10,55,116,10,55
"St Sulpice","Ste Margueritte",52,36,16,52,36,16
"St Sulpice","Piramide",43,2,35,43,1,5
"St Sulpice","St Sulpice",84,21,43,84,21,13
"St Sulpice","Ste Margueritte",25,30,54,25,30,54
"St Sulpice","Observatoire",67,27,0,67,27,0
"St Sulpice","St Sulpice",87,1,37,87,1,7
"St Sulpice","Observatoire",32,55,20,32,55,20
"St Sulpice","Notre-Dame",52,1,30,52,1,30
"St Sulpice","St Sulpice",95,3,9,95,2,9
"St Sulpice","Piramide",16,1,34,16,1,4
"St Sulpice","Notre-Dame",87,37,45,87,37,45
"St Sulpice","St Sulpice",76,20,11,76,20,11
"Hôtel Soissons","Ste Margueritte",49,20,57,49,20,57
"Hôtel Soissons","Observatoire",51,57,10,51,57,10
"Hôtel Soissons","Hôtel Soissons",78,40,0,78,40,0
"Hôtel Soissons","Ste Margueritte",23,50,3,23,50,3
"Hôtel Soissons","St Sulpice",59,37,16,59,36,46
"Hôtel Soissons","Hôtel Soissons",96,32,0,96,32,0
"Hôtel Soissons","Notre-Dame",77,48,15,77,48,15
"Hôtel Soissons","St Sulpice",51,35,44,51,35,44
"Hôtel Soissons","Hôtel Soissons",50,36,0,50,36,0
"Hôtel Soissons","Observatoire",17,25,30,17,25,30
"Hôtel Soissons","Notre-Dame",129,49,45,129,49,45
"Hôtel Soissons","Hôtel Soissons",32,44,0,32,44,0
"Hôtel Soissons","Observatoire",15,29,50,15,29,50
"Hôtel Soissons","St Sulpice",146,38,53,146,38,23
"Hôtel Soissons","Hôtel Soissons",17,52,0,17,52,0
"Porte St Denis","Ste Margueritte",44,38,2,44,38,2
"Porte St Denis","St Sulpice",53,33,14,53,32,44
"Porte St Denis","Porte St Denis",81,50,8,81,49,58
"Porte St Denis","Ste Margueritte",40,51,5,40,51,5
"Porte St Denis","Notre-Dame",82,39,20,82,39,20
"Porte St Denis","Porte St Denis",56,29,45,56,29,45
"Porte St Denis","Piramide",33,15,0,33,13,30
"Porte St Denis","St Sulpice",30,48,29,30,48,29
"Porte St Denis","Porte St Denis",115,55,43,115,55,43
"Porte St Denis","St Sulpice",45,31,42,45,31,42
"Porte St Denis","Notre-Dame",109,8,15,109,8,15
"Porte St Denis","Porte St Denis",25,20,23,25,20,13
"Porte St Denis","Piramide",17,13,26,17,12,26
"Porte St Denis","Notre-Dame",21,30,30,21,30,30
"Porte St Denis","Porte St Denis",141,16,6,141,16,56
"Porte St Denis","Notre-Dame",31,20,0,31,20,0
"Porte St Denis","Hôtel Soissons",115,19,30,115,20,30
"Porte St Denis","Porte St Denis",33,21,50,33,21,40
